["38° 58.719' N,9° 25.393' W"
 "32° 24.737' N,131° 39.151' E"
 "52° 23.256' N,9° 50.192' W"
 "9° 15.887' N,126° 5.405' E"
 "15° 48.883' N,86° 30.628' W"
 "7° 10.928' S,56° 15.438' E"
 "22° 46.744' S,41° 54.631' W"
 "31° 24.344' N,131° 13.994' E"
 "29° 20.424' S,49° 43.394' W"
 "6° 24.041' N,3° 8.277' E"
 "31° 45.211' S,71° 30.915' W"
 "9° 34.511' N,84° 36.394' W"
 "28° 13.665' N,13° 59.107' W"
 "32° 43.028' N,16° 45.831' W"
 "34° 1.692' S,24° 55.849' E"
 "39° 10.344' N,9° 34.295' E"
 "14° 43.311' N,92° 25.681' W"
 "15° 0.886' N,120° 3.83' E"
 "41° 8.366' N,8° 40.1' W"
 "38° 52.718' N,8° 51.271' E"
 "23° 51.455' S,45° 17.334' W"
 "15° 15.417' N,73° 55.126' E"
 "22° 56.83' S,42° 10.009' W"
 "51° 12.658' N,2° 51.752' E"
 "34° 9.032' S,18° 19.02' E"
 "53° 46.467' S,67° 42.065' W"
 "42° 1.359' N,28° 0.754' E"
 "32° 45.582' N,17° 13.939' W"
 "6° 12.104' N,116° 10.577' E"
 "17° 57.162' N,66° 49.697' W"
 "18° 25.977' N,69° 37.902' W"
 "37° 1.164' N,8° 55.535' W"
 "15° 36.132' N,61° 22.013' W"
 "38° 40.815' N,9° 20.688' W"
 "17° 30.469' S,149° 26.257' W"
 "39° 36.635' N,9° 5.157' W"
 "45° 46.759' N,1° 14.487' W"
 "38° 32.127' N,0° 8.099' W"
 "11° 0.418' N,74° 57.144' W"
 "28° 43.561' N,13° 59.414' W"
 "22° 53.073' S,41° 59.884' W"
 "1° 59.423' S,99° 33.554' E"
 "17° 28.979' S,149° 53.595' W"
 "9° 57.259' S,119° 54.081' E"
 "20° 19.662' S,57° 22.476' E"
 "22° 22.688' N,105° 41.208' W"
 "43° 57.195' N,1° 21.849' W"
 "14° 50.436' S,39° 0.088' W"
 "54° 17.531' N,9° 14.123' W"
 "37° 3.704' N,8° 5.447' W"
 "24° 4.458' N,111° 0.467' W"
 "20° 14.259' N,105° 34.43' W"
 "36° 11.016' N,6° 1.666' W"
 "10° 18.415' N,85° 50.327' W"
 "36° 25.161' N,136° 24.905' E"
 "29° 9.254' N,13° 25.763' W"
 "40° 9.799' N,8° 52.818' W"
 "41° 9.421' N,9° 9.184' E"
 "51° 5.416' N,1° 12.299' E"
 "36° 47.073' N,25° 16.649' E"
 "8° 38.66' N,98° 14.663' E"
 "17° 29.166' S,149° 51.87' W"
 "34° 23.26' S,72° 1.429' W"
 "28° 7.862' N,15° 26.87' W"
 "31° 57.313' N,131° 28.116' E"
 "29° 3.549' S,167° 58.185' E"
 "37° 57.407' S,57° 32.29' W"
 "37° 10.282' N,7° 24.763' W"
 "13° 55.049' N,90° 49.305' W"
 "43° 8.938' N,3° 9.517' E"
 "0° 45.801' S,90° 19.971' W"
 "38° 27.225' N,8° 51.809' W"
 "34° 5.067' S,22° 58.538' E"
 "33° 32.954' N,134° 19.016' E"
 "34° 56.646' S,54° 54.856' W"
 "34° 24.761' S,19° 16.741' E"
 "34° 55.174' S,54° 51.96' W"
 "44° 59.156' N,1° 12.355' W"
 "48° 21.317' N,4° 40.729' W"
 "48° 21.16' N,4° 40.017' W"
 "2° 40.051' S,141° 18.4' E"
 "30° 16.116' S,30° 45.993' E"
 "51° 7.716' N,4° 14.647' W"
 "43° 28.768' N,3° 47.293' W"
 "63° 24.369' N,20° 16.351' W"
 "52° 18.058' N,4° 28.42' E"
 "47° 15.828' N,2° 20.828' W"
 "23° 1.471' N,109° 42.828' W"
 "38° 40.721' N,9° 20.112' W"
 "7° 38.746' N,134° 32.641' E"
 "34° 35.171' S,19° 20.611' E"
 "20° 14.054' S,70° 9.301' W"
 "42° 2.305' N,11° 55.022' E"
 "41° 40.159' N,8° 49.445' W"
 "10° 25.755' S,105° 40.16' E"
 "11° 27.085' N,86° 6.379' W"
 "8° 47.079' S,118° 21.343' E"
 "47° 43.443' N,3° 29.613' W"
 "43° 38.276' N,7° 20.008' W"
 "23° 0.908' N,109° 43.016' W"
 "43° 23.368' N,1° 40.291' W"
 "44° 39.174' N,63° 15.866' W"
 "22° 59.106' S,43° 11.132' W"
 "12° 13.209' S,77° 0.136' W"
 "50° 39.756' N,1° 35.1' W"
 "62° 18.145' N,7° 11.516' W"
 "8° 40.556' S,115° 26.445' E"
 "2° 36.645' S,150° 42.555' E"
 "31° 59.877' N,131° 29.408' E"
 "26° 19.562' N,127° 44.447' E"
 "18° 27.162' N,65° 57.414' W"
 "31° 55.687' N,131° 28.23' E"
 "34° 34.818' S,19° 20.43' E"
 "29° 22.379' S,49° 44.905' W"
 "30° 28.483' S,17° 21.339' E"
 "28° 7.564' S,32° 33.462' E"
 "38° 1.723' N,128° 43.121' E"
 "34° 0.468' S,22° 33.002' E"
 "1° 45.85' N,109° 51.92' E"
 "12° 3.717' N,61° 45.404' W"
 "55° 12.391' N,6° 36.726' W"
 "10° 2.381' N,85° 44.733' W"
 "47° 32.77' N,9° 40.995' E"
 "18° 10.422' S,177° 30.556' E"
 "35° 57.115' N,14° 26.723' E"
 "29° 3.52' S,167° 56.754' E"
 "23° 14.271' N,106° 26.838' W"
 "26° 40.798' S,48° 41.29' W"
 "34° 36.92' N,137° 13.57' E"
 "32° 55.08' S,71° 30.938' W"
 "37° 6.893' N,8° 31.982' W"
 "51° 13.452' N,2° 53.592' E"
 "57° 26.188' N,152° 24.376' W"
 "37° 2.369' N,8° 3.047' W"
 "9° 57.553' N,84° 44.418' W"
 "41° 20.336' N,8° 44.682' W"
 "8° 41.135' S,114° 22.4' E"
 "28° 44.879' N,13° 52.334' W"
 "39° 0.107' N,1° 34.725' E"
 "30° 32.931' N,9° 43.992' W"
 "7° 58.924' N,98° 16.603' E"
 "46° 32.864' N,1° 49.866' W"
 "5° 57.776' N,80° 23.439' E"
 "43° 26.661' N,4° 1.425' W"
 "21° 5.131' S,55° 13.341' E"
 "55° 10.145' N,8° 5.915' W"
 "11° 59.347' N,61° 45.728' W"
 "45° 40.329' N,1° 9.324' W"
 "7° 42.455' S,79° 27.529' W"
 "62° 59.027' N,7° 9.033' E"
 "2° 1.49' S,99° 33.919' E"
 "40° 3.674' N,4° 4.548' E"
 "34° 22.813' S,18° 49.574' E"
 "50° 19.275' N,5° 12.065' W"
 "49° 21.767' N,0° 4.017' E"
 "28° 38.145' N,14° 1.594' W"
 "4° 29.189' S,145° 26.864' E"
 "22° 13.974' N,113° 57.431' E"
 "13° 1.68' S,76° 29.055' W"
 "12° 24.927' N,69° 53.377' W"
 "55° 3.873' N,15° 8.27' E"
 "1° 47.751' S,99° 13.871' E"
 "46° 23.673' N,1° 30.699' W"
 "16° 41.294' N,99° 37.789' W"
 "47° 42.418' N,3° 22.648' W"
 "28° 6.327' S,48° 38.116' W"
 "2° 11.042' N,73° 6.026' E"
 "18° 27.445' N,66° 4.233' W"
 "51° 13.907' N,3° 49.862' W"
 "8° 35.853' S,115° 20.345' E"
 "36° 48.365' N,21° 43.281' E"
 "21° 9.26' S,55° 16.694' E"
 "32° 44.348' N,9° 2.366' W"
 "42° 45.672' N,10° 19.535' E"
 "40° 7.583' N,8° 51.922' W"
 "24° 55.942' N,121° 53.185' E"
 "44° 47.853' N,1° 14.055' W"
 "29° 57.18' N,115° 45.282' W"
 "31° 38.194' N,131° 27.548' E"
 "52° 55.939' N,1° 18.71' E"
 "32° 49.769' S,71° 31.569' W"
 "2° 11.655' N,73° 7.674' E"
 "32° 25.17' N,117° 5.745' W"
 "41° 27.081' N,12° 38.222' E"
 "49° 29.289' N,1° 50.724' W"
 "12° 7.776' S,77° 2.25' W"
 "42° 11.846' N,8° 48.52' W"
 "31° 27.215' N,131° 10.745' E"
 "43° 29.956' N,1° 32.657' W"
 "9° 52.825' N,85° 31.598' W"
 "32° 24.64' S,71° 24.879' W"
 "13° 3.525' N,59° 32.285' W"
 "43° 27.869' N,3° 27.835' W"
 "7° 2.701' S,34° 50.485' W"
 "49° 4.111' N,125° 48.214' W"
 "41° 15.258' N,1° 54.3' E"
 "38° 42.094' N,9° 23.657' W"
 "23° 2.88' N,109° 40.931' W"
 "51° 8.639' N,4° 13.259' W"
 "43° 28.813' N,3° 40.539' W"
 "16° 44.486' N,62° 13.984' W"
 "27° 5.732' S,48° 36.584' W"
 "36° 4' N,5° 41.733' W"
 "48° 40.227' N,2° 51.727' W"
 "5° 18.124' S,104° 0.032' E"
 "29° 8.41' N,13° 27.135' W"
 "18° 28.778' S,70° 20.046' W"
 "7° 38.735' N,13° 5.922' W"
 "21° 9.314' S,55° 16.876' E"
 "13° 56.544' S,38° 55.597' W"
 "34° 40.031' S,19° 29.786' E"
 "38° 34.758' N,9° 12.145' W"
 "53° 18.8' N,0° 17.025' E"
 "52° 7.239' N,10° 12.351' W"
 "8° 27.387' N,79° 58.287' W"
 "17° 57.186' N,66° 49.794' W"
 "33° 20.764' S,18° 8.806' E"
 "5° 59.975' N,80° 15.725' E"
 "8° 16.767' S,111° 4.471' E"
 "9° 35.805' N,85° 8.702' W"
 "43° 32.034' N,5° 23.026' W"
 "34° 47.935' S,20° 3.529' E"
 "33° 39.566' N,134° 24.226' E"
 "40° 41.088' N,8° 12.181' E"
 "37° 5.477' N,8° 10.978' W"
 "10° 55.388' N,108° 17.704' E"
 "34° 39.84' N,32° 52.813' E"
 "35° 0.756' N,34° 3.537' E"
 "17° 43.95' N,101° 39.184' W"
 "27° 57.536' S,48° 37.48' W"
 "37° 6.065' N,8° 56.722' W"
 "2° 35.696' S,150° 46.077' E"
 "39° 24.991' N,9° 15.159' W"
 "3° 50.106' S,32° 24.201' W"
 "2° 42.757' S,85° 6.006' W"
 "53° 44.119' N,9° 53.633' W"
 "23° 6.923' S,43° 31.551' E"
 "40° 32.184' S,73° 43.004' W"
 "4° 20.614' N,73° 36.777' E"
 "17° 37.944' S,149° 36.9' W"
 "16° 44.717' S,151° 25.216' W"
 "42° 42.02' N,3° 2.365' E"
 "56° 16.794' N,12° 29.642' E"
 "20° 19.54' S,57° 22.651' E"
 "37° 49.206' N,23° 48.662' E"
 "30° 29.959' N,9° 40.632' W"
 "58° 35.961' N,3° 30.927' W"
 "12° 19.721' S,76° 50.133' W"
 "34° 45.986' S,55° 42.685' W"
 "50° 26.711' N,5° 2.589' W"
 "43° 30.38' N,39° 52.115' E"
 "23° 46.084' S,45° 44.289' W"
 "38° 15.934' N,104° 37.331' W"
 "11° 54.258' N,86° 36.937' W"
